eq;parm;estimate;stderr;z;p;min95;max95
HasdetailhandelGrowth;dist_airport_km_2019;.0021120646472096;.0004898334777538;4.311801342968469;.0000161929891679;.0011520086723902;.003072120622029
HasdetailhandelGrowth;dist_highway_km_2018;-.0457663517486645;.008961956549352;-5.106736625717481;3.27770091064e-07;-.0633314638164073;-.0282012396809218
HasdetailhandelGrowth;dist_seaport_km_2019;.0027787234102684;.0003595523562376;7.728285914589945;1.09004307640e-14;.0020740137414863;.0034834330790505
HasdetailhandelGrowth;dist_train_km_2019;-.0221065903198495;.003100204762807;-7.130687167848046;9.98690691724e-13;-.0281828799996509;-.0160303006400482
HasdetailhandelGrowth;dist_urbancontour_km_2000;-.5230267125934983;.0298554023927663;-17.51866230817318;1.03224028990e-68;-.5815422260272711;-.4645111991597254
HasdetailhandelGrowth;ln_tt_100kinhab_min_2017;-.6178538551007198;.0413681956170137;-14.93547992329188;1.93674684256e-50;-.6989340286154744;-.5367736815859652
HasdetailhandelGrowth;uai_2018;24.97038584669167;.3448402789402478;72.4114535675179;0;24.29451131955004;25.6462603738333
HasdetailhandelGrowth;landprice_2007;-.0010308065931834;.0000709378249787;-14.53112769516855;7.69432385318e-48;-.0011698421752833;-.0008917710110835
HasdetailhandelGrowth;vinex;.851426892085472;.0940898079961458;9.049087358328432;1.44168207299e-19;.6670142571007375;1.035839527070206
HasdetailhandelGrowth;natura2000;-1.382503602708225;.2805821149833862;-4.927269162505548;8.33868479840e-07;-1.932434442781738;-.8325727626347118
HasdetailhandelGrowth;bundelingsgebieden;-.2372477811503463;.0362776712141292;-6.539774280162298;6.16117504110e-11;-.308350710173025;-.1661448521276676
HasdetailhandelGrowth;bufferzones_2005;-.0631714456468029;.0199347442075565;-3.168911774792517;.001530108337336;-.1022428263346322;-.0241000649589736
HasdetailhandelGrowth;ehs_1990;-1.162974169079807;.152083888366745;-7.646925532804211;2.05841448773e-14;-1.461053112907438;-.8648952252521773
HasdetailhandelGrowth;o.groenehart_2004;0;0;;;0;0
HasdetailhandelGrowth;lu_share_agriculture_2000;.556770077221956;1.389731095985041;.4006315170110786;.6886914378372451;-2.167052819104101;3.280592973548013
HasdetailhandelGrowth;lu_share_construction_2000;2.611095891326671;1.396641371499775;1.869553590928472;.0615458350590627;-.1262708961315133;5.348462678784855
HasdetailhandelGrowth;lu_share_infrastructure_2000;2.84051445806737;1.391916434823325;2.040721976551641;.0412784696761008;.1124083763242596;5.56862053981048
HasdetailhandelGrowth;lu_share_nature_2000;-1.831949685069902;1.416290257984476;-1.293484633352595;.1958434954228883;-4.607827582374417;.9439282122346127
HasdetailhandelGrowth;lu_share_otherbuiltup_2000;4.603778380295084;1.389882668377025;3.312350376791838;.0009251559862464;1.879658407539688;7.327898353050481
HasdetailhandelGrowth;lu_share_residential_2000;3.570638020563089;1.389502680512071;2.569723736874843;.01017796449558;.8472628103375657;6.294013230788612
HasdetailhandelGrowth;lu_share_urbangreen_2000;.85944933753394;1.393449390795604;.6167782936438251;.5373809711641047;-1.871661282704721;3.590559957772602
HasdetailhandelGrowth;lu_share_water_2000;-2.278134088080781;1.408513497065715;-1.617403093990014;.105791298318385;-5.038769814068145;.4825016379065823
HasdetailhandelGrowth;lu_simpson_diversity_index_2000;-232.2359586657926;6.451424105739632;-35.99762701372857;9.1118567448e-284;-244.8805175620358;-219.5913997695494
HasdetailhandelGrowth;_cons;-3.842448341928413;1.400887849090987;-2.742866493146982;.006090544240835;-6.588138072526529;-1.096758611330297
